District,School_Number,SCHOOL_NAME,Grade,Female (w),Male (w),Female (b),Male (b),Female (h),Male (h),Female (a),Male (a),Female (pi),Male (pi),Female (na),Male (na),Female (2+),Male (2+),Female (tot),Male (tot),Total
ALACHUA,52,A.QUINN JONES/EXCEP.STUDENT CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ALACHUA,81,SIDNEY LANIER CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ALACHUA,151,GAINESVILLE HIGH SCHOOL,12,109,74,69,51,20,14,8,7,,,,,17,9,223,155,378
ALACHUA,201,HAWTHORNE MIDDLE/HIGH SCHOOL,12,16,11,7,8,,,,,,,,,,,23,19,42
ALACHUA,261,NEWBERRY HIGH SCHOOL,12,42,37,9,7,7,6,,1,,,1,,4,1,63,52,115
ALACHUA,271,SANTA FE HIGH SCHOOL,12,99,73,22,16,6,14,1,1,,,,,3,4,131,108,239
ALACHUA,411,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL,12,8,9,10,4,,3,,,1,,,,,,19,16,35
ALACHUA,421,EASTSIDE HIGH SCHOOL,11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ALACHUA,421,EASTSIDE HIGH SCHOOL,12,45,37,66,65,8,5,19,9,,,,,4,5,142,121,263
ALACHUA,431,F. W. BUCHHOLZ HIGH SCHOOL,12,128,133,38,40,22,17,12,19,,,,,20,8,220,217,437
ALACHUA,991,SIATECH GAINESVILLE,12,3,4,2,6,,2,,,,,,,1,,6,12,18
ALACHUA,1003,ALACHUA MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES (MYCROSCHOOL GAINESVILLE),11,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ALACHUA,1003,ALACHUA MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES (MYCROSCHOOL GAINESVILLE),12,5,9,17,15,2,2,,,,,,,1,3,25,29,54
ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),12,3,7,3,,,,,,,,1,,,,7,7,14
BAKER,12,BAKER COUNTY SENIOR HIGH SCHOOL,12,108,106,18,15,2,3,1,,,,,,6,3,135,127,262
BAY,61,BAY HIGH SCHOOL,12,105,76,40,19,13,6,2,6,,,,,4,7,164,114,278
BAY,341,RUTHERFORD HIGH SCHOOL,12,65,60,27,20,6,2,8,7,,1,2,1,9,4,117,95,212
BAY,491,A. CRAWFORD MOSLEY HIGH SCHOOL,12,150,127,16,13,11,4,1,2,,,,,7,5,185,151,336
BAY,531,NEW HORIZONS LEARNING CENTER,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BAY,541,DEANE BOZEMAN SCHOOL,12,39,44,,,1,,,,,,,,,1,40,45,85
BAY,551,J.R. ARNOLD HIGH SCHOOL,12,120,128,3,9,9,6,5,3,,,,1,4,4,141,151,292
BAY,581,ROSENWALD HIGH SCHOOL,12,12,12,14,8,,2,,,,,,,,2,26,24,50
BAY,604,PANAMA CITY MARINE INSTITUTE,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
BAY,741,NORTH BAY HAVEN CAREER ACADEMY,12,50,45,7,5,3,1,3,3,,,1,,,1,64,55,119
BAY,771,NEWPOINT BAY CHARTER HIGH SCHOOL,12,4,5,1,1,1,3,,,,,1,,,,7,9,16
