,SITE,DISTRICT,SCHOOL_NUMBER,SCHOOL_NAME,COMPLETERS,GRADE,PCT_FEMALE_(W),PCT_MALE_(W),PCT_FEMALE_(B),PCT_MALE_(B),PCT_FEMALE_(H),PCT_MALE_(H),PCT_FEMALE_(A),PCT_MALE_(A),PCT_FEMALE_(PI),PCT_MALE_(PI),PCT_FEMALE_(NA),PCT_MALE_(NA),PCT_FEMALE_(2+),PCT_MALE_(2+),PCT_FEMALE_(TOT),PCT_MALE_(TOT)
2,ALACHUA_151,ALACHUA,151,GAINESVILLE HIGH SCHOOL,378,12.0,0.28835978835978837,0.19576719576719576,0.18253968253968253,0.1349206349206349,0.05291005291005291,0.037037037037037035,0.021164021164021163,0.018518518518518517,0.0,0.0,0.0,0.0,0.04497354497354497,0.023809523809523808,0.58994708994709,0.41005291005291006
3,ALACHUA_201,ALACHUA,201,HAWTHORNE MIDDLE/HIGH SCHOOL,42,12.0,0.38095238095238093,0.2619047619047619,0.16666666666666666,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524
4,ALACHUA_261,ALACHUA,261,NEWBERRY HIGH SCHOOL,115,12.0,0.3652173913043478,0.3217391304347826,0.0782608695652174,0.06086956521739131,0.06086956521739131,0.05217391304347826,0.0,0.008695652173913044,0.0,0.0,0.008695652173913044,0.0,0.034782608695652174,0.008695652173913044,0.5478260869565217,0.45217391304347826
5,ALACHUA_271,ALACHUA,271,SANTA FE HIGH SCHOOL,239,12.0,0.41422594142259417,0.3054393305439331,0.09205020920502092,0.06694560669456066,0.02510460251046025,0.058577405857740586,0.0041841004184100415,0.0041841004184100415,0.0,0.0,0.0,0.0,0.012552301255230125,0.016736401673640166,0.5481171548117155,0.45188284518828453
6,ALACHUA_411,ALACHUA,411,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL,35,12.0,0.22857142857142856,0.2571428571428571,0.2857142857142857,0.11428571428571428,0.0,0.08571428571428572,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.5428571428571428,0.45714285714285713
8,ALACHUA_421,ALACHUA,421,EASTSIDE HIGH SCHOOL,263,12.0,0.17110266159695817,0.14068441064638784,0.2509505703422053,0.24714828897338403,0.030418250950570342,0.019011406844106463,0.07224334600760456,0.034220532319391636,0.0,0.0,0.0,0.0,0.015209125475285171,0.019011406844106463,0.5399239543726235,0.4600760456273764
9,ALACHUA_431,ALACHUA,431,F. W. BUCHHOLZ HIGH SCHOOL,437,12.0,0.2929061784897025,0.30434782608695654,0.08695652173913043,0.09153318077803203,0.05034324942791762,0.038901601830663615,0.02745995423340961,0.043478260869565216,0.0,0.0,0.0,0.0,0.04576659038901602,0.018306636155606407,0.5034324942791762,0.4965675057208238
10,ALACHUA_991,ALACHUA,991,SIATECH GAINESVILLE,18,12.0,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.3333333333333333,0.6666666666666666
12,ALACHUA_1003,ALACHUA,1003,ALACHUA MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES (MYCROSCHOOL GAINESVILLE),54,12.0,0.09259259259259259,0.16666666666666666,0.3148148148148148,0.2777777777777778,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.05555555555555555,0.46296296296296297,0.5370370370370371
13,ALACHUA_7004,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),14,12.0,0.21428571428571427,0.5,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.5,0.5
14,BAKER_12,BAKER,12,BAKER COUNTY SENIOR HIGH SCHOOL,262,12.0,0.4122137404580153,0.40458015267175573,0.06870229007633588,0.05725190839694656,0.007633587786259542,0.011450381679389313,0.003816793893129771,0.0,0.0,0.0,0.0,0.0,0.022900763358778626,0.011450381679389313,0.5152671755725191,0.4847328244274809
15,BAY_61,BAY,61,BAY HIGH SCHOOL,278,12.0,0.3776978417266187,0.2733812949640288,0.14388489208633093,0.0683453237410072,0.046762589928057555,0.02158273381294964,0.007194244604316547,0.02158273381294964,0.0,0.0,0.0,0.0,0.014388489208633094,0.025179856115107913,0.5899280575539568,0.41007194244604317
16,BAY_341,BAY,341,RUTHERFORD HIGH SCHOOL,212,12.0,0.30660377358490565,0.2830188679245283,0.12735849056603774,0.09433962264150944,0.02830188679245283,0.009433962264150943,0.03773584905660377,0.0330188679245283,0.0,0.0047169811320754715,0.009433962264150943,0.0047169811320754715,0.04245283018867924,0.018867924528301886,0.5518867924528302,0.4481132075471698
17,BAY_491,BAY,491,A. CRAWFORD MOSLEY HIGH SCHOOL,336,12.0,0.44642857142857145,0.37797619047619047,0.047619047619047616,0.03869047619047619,0.03273809523809524,0.011904761904761904,0.002976190476190476,0.005952380952380952,0.0,0.0,0.0,0.0,0.020833333333333332,0.01488095238095238,0.5505952380952381,0.4494047619047619
19,BAY_541,BAY,541,DEANE BOZEMAN SCHOOL,85,12.0,0.4588235294117647,0.5176470588235295,0.0,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011764705882352941,0.47058823529411764,0.5294117647058824
20,BAY_551,BAY,551,J.R. ARNOLD HIGH SCHOOL,292,12.0,0.410958904109589,0.4383561643835616,0.010273972602739725,0.030821917808219176,0.030821917808219176,0.02054794520547945,0.017123287671232876,0.010273972602739725,0.0,0.0,0.0,0.003424657534246575,0.0136986301369863,0.0136986301369863,0.4828767123287671,0.5171232876712328
21,BAY_581,BAY,581,ROSENWALD HIGH SCHOOL,50,12.0,0.24,0.24,0.28,0.16,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.52,0.48
23,BAY_741,BAY,741,NORTH BAY HAVEN CAREER ACADEMY,119,12.0,0.42016806722689076,0.37815126050420167,0.058823529411764705,0.04201680672268908,0.025210084033613446,0.008403361344537815,0.025210084033613446,0.025210084033613446,0.0,0.0,0.008403361344537815,0.0,0.0,0.008403361344537815,0.5378151260504201,0.46218487394957986
24,BAY_771,BAY,771,NEWPOINT BAY CHARTER HIGH SCHOOL,16,12.0,0.25,0.3125,0.0625,0.0625,0.0625,0.1875,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.4375,0.5625
26,BAY_7004,BAY,7004,BAY VIRTUAL FRANCHISE,17,12.0,0.4117647058823529,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.4117647058823529,0.5882352941176471
28,BRADFORD_21,BRADFORD,21,BRADFORD HIGH SCHOOL,151,12.0,0.33774834437086093,0.3708609271523179,0.1456953642384106,0.07947019867549669,0.013245033112582781,0.013245033112582781,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.006622516556291391,0.026490066225165563,0.5033112582781457,0.4966887417218543
30,BREVARD_11,BREVARD,11,TITUSVILLE HIGH SCHOOL,303,12.0,0.31353135313531355,0.34983498349834985,0.07590759075907591,0.0462046204620462,0.04950495049504951,0.066006600660066,0.0165016501650165,0.009900990099009901,0.0,0.0,0.0033003300330033004,0.0033003300330033004,0.04950495049504951,0.0165016501650165,0.5082508250825083,0.49174917491749176
32,BREVARD_161,BREVARD,161,ASTRONAUT HIGH SCHOOL,251,12.0,0.42231075697211157,0.2948207171314741,0.06374501992031872,0.05179282868525897,0.04780876494023904,0.035856573705179286,0.00398406374501992,0.00398406374501992,0.0,0.0,0.00398406374501992,0.00398406374501992,0.035856573705179286,0.03187250996015936,0.5776892430278885,0.42231075697211157
34,BREVARD_302,BREVARD,302,SPACE COAST JUNIOR/SENIOR HIGH SCHOOL,210,12.0,0.4095238095238095,0.36666666666666664,0.02857142857142857,0.023809523809523808,0.04285714285714286,0.047619047619047616,0.0,0.004761904761904762,0.0,0.0,0.004761904761904762,0.0,0.047619047619047616,0.023809523809523808,0.5333333333333333,0.4666666666666667
35,BREVARD_1011,BREVARD,1011,ROCKLEDGE SENIOR HIGH SCHOOL,284,12.0,0.25,0.3380281690140845,0.13380281690140844,0.08450704225352113,0.06338028169014084,0.035211267605633804,0.02112676056338028,0.0,0.0,0.0,0.0,0.0035211267605633804,0.03873239436619718,0.03169014084507042,0.5070422535211268,0.49295774647887325
39,BREVARD_1073,BREVARD,1073,PROJECT SEARCH,28,12.0,0.25,0.42857142857142855,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.5714285714285714
41,BREVARD_1121,BREVARD,1121,COCOA HIGH SCHOOL,174,12.0,0.16091954022988506,0.27011494252873564,0.14942528735632185,0.1896551724137931,0.07471264367816093,0.06321839080459771,0.0,0.005747126436781609,0.0,0.0,0.0,0.0,0.04597701149425287,0.040229885057471264,0.43103448275862066,0.5689655172413793
42,BREVARD_1171,BREVARD,1171,VIERA HIGH SCHOOL,503,12.0,0.3797216699801193,0.3797216699801193,0.015904572564612324,0.015904572564612324,0.07157057654075547,0.05765407554671968,0.009940357852882704,0.0019880715705765406,0.0,0.0,0.0,0.0,0.02186878727634195,0.04572564612326044,0.4990059642147117,0.5009940357852882
45,BREVARD_2011,BREVARD,2011,MELBOURNE SENIOR HIGH SCHOOL,440,12.0,0.36818181818181817,0.3181818181818182,0.038636363636363635,0.03636363636363636,0.06818181818181818,0.075,0.025,0.020454545454545454,0.0022727272727272726,0.0,0.0,0.0,0.015909090909090907,0.031818181818181815,0.5181818181818182,0.4818181818181818
46,BREVARD_2021,BREVARD,2021,PALM BAY MAGNET SENIOR HIGH SCHOOL,17,11.0,0.058823529411764705,0.35294117647058826,0.11764705882352941,0.0,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.47058823529411764,0.5294117647058824
47,BREVARD_2021,BREVARD,2021,PALM BAY MAGNET SENIOR HIGH SCHOOL,296,12.0,0.25675675675675674,0.25,0.11824324324324324,0.11486486486486487,0.08445945945945946,0.060810810810810814,0.010135135135135136,0.013513513513513514,0.0,0.0,0.0,0.006756756756756757,0.05067567567567568,0.033783783783783786,0.5202702702702703,0.4797297297297297
48,BREVARD_2211,BREVARD,2211,BAYSIDE HIGH SCHOOL,10,11.0,0.1,0.5,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9
49,BREVARD_2211,BREVARD,2211,BAYSIDE HIGH SCHOOL,350,12.0,0.31142857142857144,0.28,0.11714285714285715,0.10285714285714286,0.05142857142857143,0.08,0.002857142857142857,0.002857142857142857,0.002857142857142857,0.0,0.0,0.002857142857142857,0.02,0.025714285714285714,0.5057142857142857,0.4942857142857143
52,BREVARD_2311,BREVARD,2311,HERITAGE HIGH SCHOOL,359,12.0,0.2116991643454039,0.1977715877437326,0.11420612813370473,0.1615598885793872,0.11977715877437325,0.11420612813370473,0.011142061281337047,0.008356545961002786,0.0,0.0,0.002785515320334262,0.0,0.027855153203342618,0.03064066852367688,0.48746518105849584,0.5125348189415042
53,BREVARD_3011,BREVARD,3011,EAU GALLIE HIGH SCHOOL,316,12.0,0.3069620253164557,0.3575949367088608,0.03164556962025317,0.03164556962025317,0.06329113924050633,0.09177215189873418,0.012658227848101266,0.015822784810126583,0.0,0.0,0.0031645569620253164,0.0031645569620253164,0.060126582278481014,0.022151898734177215,0.4778481012658228,0.5221518987341772
54,BREVARD_3141,BREVARD,3141,WESTSHORE JUNIOR/SENIOR HIGH SCHOOL,143,12.0,0.46853146853146854,0.3006993006993007,0.02097902097902098,0.0,0.055944055944055944,0.027972027972027972,0.04195804195804196,0.055944055944055944,0.0,0.0,0.0,0.0,0.02097902097902098,0.006993006993006993,0.6083916083916084,0.3916083916083916
55,BREVARD_4011,BREVARD,4011,MERRITT ISLAND HIGH SCHOOL,414,12.0,0.36231884057971014,0.38405797101449274,0.016908212560386472,0.033816425120772944,0.07246376811594203,0.033816425120772944,0.012077294685990338,0.012077294685990338,0.004830917874396135,0.0024154589371980675,0.0024154589371980675,0.0024154589371980675,0.03864734299516908,0.021739130434782608,0.5096618357487923,0.49033816425120774
56,BREVARD_4021,BREVARD,4021,EDGEWOOD JR/SR HIGH SCHOOL,137,12.0,0.39416058394160586,0.3795620437956204,0.029197080291970802,0.0072992700729927005,0.0364963503649635,0.08029197080291971,0.043795620437956206,0.0,0.0,0.0,0.0,0.0,0.014598540145985401,0.014598540145985401,0.5182481751824818,0.48175182481751827
57,BREVARD_5011,BREVARD,5011,COCOA BEACH JUNIOR/SENIOR HIGH SCHOOL,172,12.0,0.38953488372093026,0.38372093023255816,0.005813953488372093,0.005813953488372093,0.0755813953488372,0.040697674418604654,0.023255813953488372,0.01744186046511628,0.0,0.0,0.0,0.0,0.03488372093023256,0.023255813953488372,0.5290697674418605,0.47093023255813954
58,BREVARD_6011,BREVARD,6011,SATELLITE SENIOR HIGH SCHOOL,274,12.0,0.3905109489051095,0.4233576642335766,0.0072992700729927005,0.0072992700729927005,0.04744525547445255,0.051094890510948905,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.014598540145985401,0.051094890510948905,0.45985401459854014,0.5401459854014599
60,BROWARD_171,BROWARD,171,SOUTH BROWARD HIGH SCHOOL,382,12.0,0.1387434554973822,0.14659685863874344,0.1387434554973822,0.12041884816753927,0.20157068062827224,0.19633507853403143,0.010471204188481676,0.005235602094240838,0.002617801047120419,0.0,0.002617801047120419,0.002617801047120419,0.015706806282722512,0.01832460732984293,0.5104712041884817,0.4895287958115183
61,BROWARD_185,BROWARD,185,POMPANO BEACH HIGH SCHOOL,286,12.0,0.2692307692307692,0.23426573426573427,0.12937062937062938,0.08741258741258741,0.1258741258741259,0.08741258741258741,0.027972027972027972,0.013986013986013986,0.0,0.0,0.0034965034965034965,0.0,0.017482517482517484,0.0034965034965034965,0.5734265734265734,0.42657342657342656
62,BROWARD_211,BROWARD,211,STRANAHAN HIGH SCHOOL,264,12.0,0.026515151515151516,0.056818181818181816,0.3977272727272727,0.29545454545454547,0.10984848484848485,0.07575757575757576,0.022727272727272728,0.003787878787878788,0.0,0.0,0.0,0.0,0.007575757575757576,0.003787878787878788,0.5643939393939394,0.4356060606060606
63,BROWARD_241,BROWARD,241,MCARTHUR HIGH SCHOOL,486,12.0,0.10493827160493827,0.08024691358024691,0.13786008230452676,0.13168724279835392,0.25102880658436216,0.24074074074074073,0.024691358024691357,0.012345679012345678,0.00205761316872428,0.0,0.0,0.00411522633744856,0.006172839506172839,0.00411522633744856,0.5267489711934157,0.4732510288065844
64,BROWARD_361,BROWARD,361,BLANCHE ELY HIGH SCHOOL,390,12.0,0.017948717948717947,0.015384615384615385,0.5025641025641026,0.36666666666666664,0.046153846153846156,0.03076923076923077,0.005128205128205128,0.005128205128205128,0.0,0.0,0.002564102564102564,0.0,0.002564102564102564,0.005128205128205128,0.5769230769230769,0.4230769230769231
65,BROWARD_371,BROWARD,371,DILLARD  6-12,328,12.0,0.018292682926829267,0.018292682926829267,0.4573170731707317,0.4298780487804878,0.03353658536585366,0.01524390243902439,0.003048780487804878,0.003048780487804878,0.003048780487804878,0.0,0.0,0.0,0.012195121951219513,0.006097560975609756,0.5274390243902439,0.4725609756097561
66,BROWARD_403,BROWARD,403,HALLANDALE HIGH SCHOOL,211,12.0,0.02843601895734597,0.02843601895734597,0.3981042654028436,0.36492890995260663,0.0947867298578199,0.06635071090047394,0.0,0.004739336492890996,0.0,0.0,0.004739336492890996,0.0,0.009478672985781991,0.0,0.5355450236966824,0.46445497630331756
67,BROWARD_452,BROWARD,452,WHIDDON RODGERS EDUCATION CENTER,120,12.0,0.016666666666666666,0.041666666666666664,0.38333333333333336,0.4583333333333333,0.025,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.425,0.575
68,BROWARD_592,BROWARD,592,HALLANDALE ADULT/COMMUNITY CENTER,79,12.0,0.06329113924050633,0.0759493670886076,0.24050632911392406,0.2911392405063291,0.11392405063291139,0.17721518987341772,0.0,0.012658227848101266,0.0,0.0,0.0,0.0,0.012658227848101266,0.012658227848101266,0.43037974683544306,0.569620253164557
69,BROWARD_601,BROWARD,601,SEAGULL SCHOOL,20,12.0,0.05,0.0,0.35,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
70,BROWARD_951,BROWARD,951,FORT LAUDERDALE HIGH SCHOOL,418,12.0,0.1339712918660287,0.1076555023923445,0.36363636363636365,0.19856459330143542,0.07416267942583732,0.07416267942583732,0.014354066985645933,0.014354066985645933,0.0,0.0,0.0023923444976076554,0.0,0.011961722488038277,0.004784688995215311,0.6004784688995215,0.39952153110047844
72,BROWARD_1151,BROWARD,1151,CORAL SPRINGS HIGH SCHOOL,540,12.0,0.13333333333333333,0.13703703703703704,0.16111111111111112,0.2111111111111111,0.12777777777777777,0.12222222222222222,0.03148148148148148,0.02962962962962963,0.0,0.001851851851851852,0.005555555555555556,0.001851851851851852,0.018518518518518517,0.018518518518518517,0.4777777777777778,0.5222222222222223
73,BROWARD_1241,BROWARD,1241,NORTHEAST HIGH SCHOOL,360,12.0,0.10833333333333334,0.07777777777777778,0.2388888888888889,0.19444444444444445,0.17777777777777778,0.14722222222222223,0.005555555555555556,0.011111111111111112,0.0,0.005555555555555556,0.0,0.008333333333333333,0.011111111111111112,0.013888888888888888,0.5416666666666666,0.4583333333333333
74,BROWARD_1281,BROWARD,1281,NOVA HIGH SCHOOL,476,12.0,0.14495798319327732,0.11764705882352941,0.2710084033613445,0.19957983193277312,0.09033613445378151,0.1092436974789916,0.02100840336134454,0.029411764705882353,0.0,0.0,0.0021008403361344537,0.0021008403361344537,0.004201680672268907,0.008403361344537815,0.5336134453781513,0.46638655462184875
75,BROWARD_1291,BROWARD,1291,WILLIAM T. MCFATTER TECHNICAL COLLEGE,139,12.0,0.11510791366906475,0.1366906474820144,0.09352517985611511,0.050359712230215826,0.2158273381294964,0.26618705035971224,0.03597122302158273,0.050359712230215826,0.0,0.0,0.0,0.0,0.02877697841726619,0.007194244604316547,0.4892086330935252,0.5107913669064749
76,BROWARD_1451,BROWARD,1451,PLANTATION HIGH SCHOOL,426,12.0,0.08215962441314555,0.07746478873239436,0.3286384976525822,0.32629107981220656,0.04460093896713615,0.07981220657276995,0.004694835680751174,0.028169014084507043,0.002347417840375587,0.0,0.004694835680751174,0.0,0.007042253521126761,0.014084507042253521,0.47417840375586856,0.5258215962441315
77,BROWARD_1661,BROWARD,1661,HOLLYWOOD HILLS HIGH SCHOOL,313,12.0,0.20447284345047922,0.1757188498402556,0.10862619808306709,0.10862619808306709,0.19169329073482427,0.14057507987220447,0.012779552715654952,0.025559105431309903,0.0,0.003194888178913738,0.003194888178913738,0.0,0.012779552715654952,0.012779552715654952,0.5335463258785943,0.46645367412140576
78,BROWARD_1681,BROWARD,1681,COCONUT CREEK HIGH SCHOOL,184,12.0,0.016304347826086956,0.02717391304347826,0.42934782608695654,0.3532608695652174,0.03260869565217391,0.07608695652173914,0.021739130434782608,0.021739130434782608,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.5217391304347826,0.4782608695652174
